time,accel x,accel y,accel z,gryo x,gyro y,gyro z
1515642466978,1.6223297,6.644867,10.566711,0.0912323,-1.0044403,0.06147766
1515642467082,-0.76091003,3.2518463,7.618744,-0.034576416,0.39442444,-0.22561646
1515642467186,1.1509552,2.675171,7.8388824,-0.12864685,-0.15531921,-0.40274048
1515642467290,-0.45703125,2.9479523,7.1856537,-0.3717804,-0.2628479,-0.015457153
1515642467395,0.27278137,4.0989075,9.559326,-0.7016449,-0.11013794,-0.1974945
1515642467497,0.5694885,4.955536,9.789032,0.28060913,0.12075806,0.24351501
1515642467603,-0.5240326,4.9579315,9.772293,-0.12010193,0.25515747,0.010192871
1515642467706,-0.49771118,2.8737793,13.091141,0.2207489,-0.36424255,0.66500854
1515642467811,-0.6029968,2.8450623,7.893921,0.097351074,0.1696167,1.060852
1515642467915,-0.2368927,2.5172424,9.040085,-0.106658936,0.10487366,0.5648346
1515642468017,-1.0241241,2.6033936,7.8388824,0.06314087,0.68273926,0.66500854
1515642468119,-0.03111267,4.0534363,8.985046,-0.030914307,0.26004028,0.41210938
1515642468220,-0.102890015,4.8885345,7.869995,0.22807312,0.24415588,0.013839722
1515642468322,-0.72024536,5.0392914,9.59761,0.06680298,0.08898926,0.10546875
1515642468425,0.112457275,4.0079803,13.856842,-0.3742218,-0.63790894,-0.21949768
1515642468529,-0.1531372,1.9884338,7.3986053,0.49441528,-0.056381226,0.6821289
1515642468631,0.2033844,3.2374878,7.1210327,-0.5660248,0.4481659,-0.3245697
1515642468735,-0.5024872,4.065399,8.1427765,-0.054138184,-0.5291748,-0.04234314
1515642468840,-1.4715881,4.2137604,8.652451,-0.18484497,0.2844696,-0.04966736
1515642468943,-0.76330566,4.9507446,9.39183,0.05947876,-0.007507324,0.38890076
1515642469045,-0.8638153,5.1302185,8.456238,-0.027267456,-0.119903564,0.16532898
1515642469154,-2.141571,3.5533447,8.604584,0.33314514,0.48849487,0.43043518
1515642469261,-0.97387695,3.5030975,9.037689,0.15109253,-0.12112427,0.864151
1515642469365,-0.43070984,2.8426666,8.918045,0.060699463,0.51538086,0.6405792
1515642469468,-0.17945862,3.7519531,6.977478,0.2207489,-0.35813904,0.49153137
1515642469571,-0.28474426,5.063217,7.8460693,0.33192444,0.21850586,-0.08387756
1515642469674,-0.119644165,4.977066,10.186249,-0.0016174316,0.13664246,-0.5346985
1515642469776,-0.6316986,4.165909,12.366104,-0.5819092,0.20870972,-0.5750122
1515642469879,1.8137665,4.6037903,9.860825,0.6055908,-0.75886536,0.22398376
