time,accel x,accel y,accel z,gyro y,gyro x,gyro z
1515654177352,5.893219,10.052994,5.3187714,-1.3840637,-1.4996948,0.87612915
1515654177454,0.8749695,7.852722,1.9190063,-0.82907104,-0.014709473,0.5363159
1515654177558,-0.3795929,6.971649,2.2948914,-0.7896576,0.6308441,0.99224854
1515654177662,4.971451,7.1224823,4.3539124,0.062561035,0.31126404,0.60128784
1515654177765,3.8557434,6.99559,4.938095,0.69532776,1.6598816,0.59809875
1515654177867,3.4247894,6.1791687,5.8215637,0.5557709,1.0729218,0.48944092
1515654177969,4.37529,-0.9004822,11.835785,-1.0080261,1.6982422,-0.8943329
1515654178071,1.3562012,13.845398,-0.02748108,0.57281494,-1.0309753,-0.7132416
1515654178174,2.565277,10.524643,-0.9229126,0.8061218,-1.0639954,-0.52256775
1515654178277,2.2827606,8.846313,0.6692352,0.7666931,-0.7167206,-0.6163025
1515654178380,2.1247406,8.827164,0.767395,0.45671082,-0.84988403,-0.2871399
1515654178482,1.6937866,9.289246,0.15447998,0.33207703,-1.0608063,-0.7366791
1515654178586,4.406418,8.7912445,0.11138916,-0.12918091,-0.8200531,-0.4437256
1515654178690,-4.2127075,13.304321,-1.9739685,-2.0594482,-0.79447937,0.68013
1515654178792,4.5524597,11.288391,2.2685547,-1.2178955,0.1472168,1.177597
1515654178894,-0.9063263,7.002777,0.19996643,-1.5960541,1.1261902,0.5320587
1515654178996,2.146286,6.1193085,4.236603,-0.7427826,0.19302368,0.52246094
1515654179098,4.1957245,6.270157,6.9252777,0.10623169,0.97065735,0.13684082
1515654179200,-0.7004242,6.2893066,5.685089,0.009292603,0.9269867,0.15174866
1515654179305,1.3633881,7.2972565,2.8144379,0.15524292,-0.13082886,0.24975586
1515654179406,-3.9589233,-10.082245,-1.6962433,1.5294342,-0.95214844,-1.9734497
1515654179510,0.060943604,4.4026794,5.7856445,0.35017395,-1.0682526,-1.0786285
1515654179612,3.4176025,7.6875153,3.6548004,1.035141,-0.7124634,-0.8197632
1515654179715,1.7009583,9.882996,0.33883667,0.8455353,-0.23309326,-0.48313904
1515654179817,1.6650543,8.693085,0.58303833,1.3472748,-0.41311646,-0.7558594
1515654179919,2.8046875,10.380997,1.2653961,0.21063232,-0.7870331,-0.463974
1515654180021,1.8877106,13.328262,-1.3179474,-0.78326416,0.4028778,1.1733398
1515654180123,1.4735107,14.769562,5.7856445,-1.3734131,-2.2890472,1.2170105
1515654180225,3.5684357,6.828003,1.4736938,-0.33584595,1.4478912,1.2170105
1515654180329,-1.7155609,6.401825,0.49446106,-1.034668,1.8846588,0.70036316
1515654180431,3.5780182,8.424927,4.56221,0.47268677,0.60847473,0.36054993
1515654180533,3.6785736,8.175934,4.768112,0.48014832,2.335266,0.7024994
1515654180635,2.81427,21.238693,1.9980164,-0.32200623,-0.46105957,0.89637756
1515654180737,-1.1672821,17.683304,2.1536407,1.1821594,-1.2323151,-1.052002
1515654180840,0.21417236,8.30043,-1.1431732,1.7712402,0.07369995,-1.0786285
1515654180942,2.383316,7.8622894,0.71951294,0.6101074,-0.25332642,-0.53108215
1515654181044,3.3290253,8.041855,1.7059174,0.48120117,-0.96173096,-0.35743713
1515654181146,1.3538055,9.023483,-0.6308136,0.48973083,-0.112716675,-0.6205597
1515654181248,3.6259003,10.618027,-0.14479065,0.062561035,-1.1066132,-0.57795715
1515654181351,-1.2510834,15.763153,-2.1846466,-0.6351929,0.86946106,1.144577
1515654181454,0.5780792,10.555771,8.639526,-1.8858032,-2.0887756,1.1030273
