timestamp(unix),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),user_acc_x(G),user_acc_y(G),user_acc_z(G),timestamp(unix),User Mark
,,,,,,,1515650040,
,,,,,,,1515650043,
,,,,,,,1515650044,
,,,,,,,1515650044,
,,,,,,,1515650045,
,,,,,,,1515650046,
,,,,,,,1515650047,
,,,,,,,1515650048,
,,,,,,,1515650049,
,,,,,,,1515650050,
,,,,,,,1515650051,
,,,,,,,1515650052,
,,,,,,,1515650053,
,,,,,,,1515650054,
,,,,,,,1515650055,
,,,,,,,1515650056,
,,,,,,,1515650057,
,,,,,,,1515650058,
,,,,,,,1515650059,
,,,,,,,1515650060,
,,,,,,,1515650061,
,,,,,,,1515650062,
,,,,,,,1515650063,
,,,,,,,1515650064,
,,,,,,,1515650065,
,,,,,,,1515650066,
,,,,,,,1515650067,
,,,,,,,1515650068,
,,,,,,,1515650069,
,,,,,,,1515650070,
,,,,,,,1515650071,
,,,,,,,1515650072,
,,,,,,,1515650073,
,,,,,,,1515650074,
,,,,,,,1515650075,
,,,,,,,1515650076,
,,,,,,,1515650077,
,,,,,,,1515650078,
,,,,,,,1515650079,
,,,,,,,1515650080,
,,,,,,,1515650081,
,,,,,,,1515650082,
,,,,,,,1515650083,
,,,,,,,1515650084,
,,,,,,,1515650085,
,,,,,,,1515650086,
,,,,,,,1515650087,
,,,,,,,1515650088,
,,,,,,,1515650089,
,,,,,,,1515650090,
,,,,,,,1515650091,
,,,,,,,1515650092,
,,,,,,,1515650093,
,,,,,,,1515650094,
,,,,,,,1515650095,
,,,,,,,1515650096,
,,,,,,,1515650097,
,,,,,,,1515650098,
,,,,,,,1515650099,
,,,,,,,1515650100,
,,,,,,,1515650101,
,,,,,,,1515650102,
,,,,,,,1515650103,
,,,,,,,1515650104,
,,,,,,,1515650105,
,,,,,,,1515650106,
,,,,,,,1515650107,
,,,,,,,1515650108,
,,,,,,,1515650109,
,,,,,,,1515650110,
,,,,,,,1515650111,
,,,,,,,1515650112,
1515650113,-0.105822,-0.038761,0.028875,-0.004396,-0.00327,0.030172,,
1515650113,-0.085668,0.039678,0.034253,-0.011841,0.008663,0.007288,,
1515650113,-0.018717,0.089276,0.015955,-0.000548,0.022279,-0.014634,,
1515650113,0.055723,0.070193,-0.020593,0.016312,0.021511,-0.024558,,
1515650113,0.014317,0.029301,-0.027917,0.013375,0.010355,-0.013027,,
1515650113,-0.023873,0.028201,-0.054325,-0.005087,0.020983,-0.012725,,
1515650113,0.060038,0.091763,-0.055664,0.001198,0.010906,-0.004634,,
,,,,,,,1515650113,
1515650113,0.095066,0.087512,-0.040954,0.006853,-0.010103,-0.00354,,
1515650113,0.048262,0.059404,-0.006754,0.009727,-0.024635,-0.004606,,
1515650113,-0.037815,-0.022472,0.017947,0.01932,-0.03321,-0.015858,,
1515650113,-0.093086,-0.068827,0.038327,0.00924,-0.026958,-0.003732,,
1515650113,-0.085675,-0.050575,0.048958,-0.003364,-0.010481,-0.002646,,
1515650113,-0.04102,-0.023573,0.02647,-0.009876,0.005101,-0.006422,,
1515650113,-0.012284,-0.010557,-0.001292,-0.007492,0.006985,-0.011203,,
1515650113,-0.038798,-0.050319,-0.018259,-0.007167,0.0047,-0.01352,,
1515650113,-0.049427,-0.044977,-0.016071,-0.011606,-0.000989,-0.005365,,
1515650113,-0.026095,0.003377,-0.002264,-0.0213,0.000468,0.007295,,
1515650113,0.015313,0.070055,0.00086,-0.013893,0.007124,-0.007075,,
1515650113,0.063157,0.057315,-0.017469,-0.00461,0.009149,-0.020542,,
1515650113,0.032392,-0.000723,-0.031262,0.003169,0.004998,-0.01893,,
1515650113,-0.03772,-0.051372,-0.025716,0.003417,-0.004295,-0.012526,,
1515650113,-0.043038,-0.079325,-0.019361,0.007892,0.003339,-0.014273,,
1515650113,-0.004777,-0.034097,-0.033278,-0.005229,0.007681,0.005477,,
1515650113,0.029231,-0.001775,-0.044011,0.001564,0.007097,-0.007807,,
1515650113,0.030332,-0.062967,-0.055836,0.005698,0.005965,-0.018299,,
1515650113,-0.009011,-0.070617,-0.036523,-0.006705,-0.001699,0.000652,,
1515650113,-0.014367,-0.029853,-0.019403,-0.010512,0.000891,0.001914,,
1515650114,0.015387,-0.009364,-0.025888,-0.004114,0.002888,-0.011329,,
1515650114,0.027065,-0.014718,-0.021699,0.000843,-0.003159,-0.000509,,
1515650114,0.411658,0.177416,-0.060375,-0.007724,0.012518,0.037524,,
1515650114,0.269352,0.252352,-0.09251,0.004197,0.004508,0.005178,,
1515650114,-0.096081,-0.019198,-0.062595,0.021406,-0.021464,-0.038843,,
1515650114,-0.395741,-0.198308,0.001219,0.001941,-0.007409,-0.032424,,
